CustomerID,Store Number,Customer Segment,Responder,First Name,Last Name,Address,City,State,Zip,Lat,Lon
2,100,Corporate,No,JEAN,SMITH,376 S JASMINE ST,DENVER,CO,80224,39.7097342857143,-104.918581741593
3,100,Corporate,No,JULIA,CARRERA,846 S UMATILLA WAY,DENVER,CO,80223,39.7009275356545,-105.012175941854
5,100,Home Office,No,LINDA,TREVINO,5360 ZUNI ST,DENVER,CO,80221,39.7939240392764,-105.015644744517
6,106,Home Office,No,H,MACK,1599 WILLIAMS ST,DENVER,CO,80218,39.74162,-104.966148340861
7,105,Home Office,No,MARISSA,LATTA,12066 E LAKE CIR,ENGLEWOOD,CO,80111,39.6064016372081,-104.849237400256
8,101,Home Office,No,PHYLLIS,WALKER,7225 S GAYLORD ST,LITTLETON,CO,80122,39.5871251428571,-104.962487942571
9,105,Home Office,No,VIVIAN,GAULDEN,4497 CORNISH WAY,DENVER,CO,80239,39.778242949727,-104.829779947848
10,100,Home Office,No,PAMELA,WRIGHT,2316 E 5TH AVE,DENVER,CO,80206,39.7239928674084,-104.959232244898
11,106,Home Office,No,MARIA,GONZALEZ,3883 QUITMAN ST,DENVER,CO,80212,39.7707029975632,-105.040646477717
12,108,Home Office,No,WANDA,MAYBERRY,1965 YUKON ST,DENVER,CO,80214,39.746908566321,-105.082754280269
14,105,Small Business,No,KATHLEEN,KIRBACH,2343 S VAUGHN WAY,AURORA,CO,80014,39.6743147430863,-104.835153505675
15,104,Small Business,Yes,BERNADETTE,MCKALE,4288 S RICHFIELD ST,AURORA,CO,80013,39.6402369673855,-104.784774079027
16,103,Small Business,No,JEANNINE,QUINLAN,5400 SHERIDAN BLVD,ARVADA,CO,80002,39.7940857151194,-105.052900133329
17,107,Small Business,No,CYNTHIA,LOUY,195 JADE ST,BROOMFIELD,CO,80020,39.9180434365499,-105.082784784243
18,104,Small Business,No,MICHAELA,BOLLWITT,4034 S CARSON ST,AURORA,CO,80014,39.6449538652297,-104.823147225862
19,102,Small Business,No,JENNIFER,CAMPBELL,22873 E CLIFTON PL,AURORA,CO,80016,39.5682573035422,-104.722953273192
20,100,Small Business,No,KRISTA,FLOREZ,2879 S MEMPHIS ST,AURORA,CO,80013,39.664674026209,-104.799148906669
21,100,Small Business,Yes,AVIVA,HEIFETS,3490 S BELLAIRE ST,DENVER,CO,80222,39.6531879477447,-104.937241282934
23,107,Corporate,Yes,LUCINDA,MAIA,4896 HARLAN ST,DENVER,CO,80212,39.7856068421053,-105.062461545177
24,105,Corporate,No,ROBIN,WALLIN,2855 ADAMS ST,DENVER,CO,80205,39.7576487755102,-104.949018382359
